linhas,date,from_stop_id,from_stop_lat,from_stop_lng,to_stop_id,to_stop_lat,to_stop_lng,dist,X00,X01,X02,X03,X04
N205-11-0,20171006,6311367,-23.566113,-46.701761,6306764,-23.567682,-46.696858,684,19.7049897262756,23.0614806426772,23.914604725732,23.7940321325706,23.9684231128895
N205-11-0,20171006,6311367,-23.566113,-46.701761,630015849,-23.570377,-46.700212,561,37.2,36.96,31.1142857142857,36.8009859885833,5.69117647058824
N206-11-0,20171006,60016467,-23.521439,-46.666408,614547,-23.52868,-46.676061,1530,24.2034396182702,24.5418361956287,28.9900384397773,24.7795746090528,27.3886011933989
N206-11-0,20171006,60016482,-23.524432,-46.667029,60016458,-23.52366,-46.667456,588,36.4102742436086,32.3292827777829,38.9409624847623,32.8001205905275,37.7168842105263
N206-11-0,20171006,60016886,-23.519015,-46.676446,60016884,-23.51895,-46.676385,10,19.1663908338638,23.7059342102865,31.6201476104541,21.1177934397245,30.1335371095616
N206-11-0,20171006,630014982,-23.547324,-46.690055,6311025,-23.546078,-46.69205,483,17.4337392264158,18.717181900431,21.1955581564365,21.4736447017663,20.1507143639301
N206-11-0,20171006,710000627,-23.50272,-46.624004,710002302,-23.499019,-46.62512,536,15.3268824893261,12.6922065804942,17.3076216823932,28.1579652136648,NA
N206-11-1,20171006,500001983,-23.507369,-46.679887,5013154,-23.503637,-46.678472,550,35.2723276963513,33.2237032390104,26.5585549041193,35.5267986344767,34.9424923389296
N206-11-1,20171006,60016893,-23.520619,-46.673323,60016885,-23.518887,-46.6761,410,26.3060370762278,37.4217757299869,31.5322430397532,33.3572605103099,27.0707327773976
N206-11-1,20171006,7112974,-23.498885,-46.626435,710000632,-23.502209,-46.624176,850,NA,38.5403726708075,40.3379790940767,45.0297619047619,37.7642857142857
N207-11-0,20171006,670003984,-23.543478,-46.641651,6714482,-23.543479,-46.641781,13,15.3724583068277,16.9915955898979,21.2305762841282,25.3274175338163,21.3179113159526
N207-11-0,20171006,6700283,-23.544208,-46.642656,6714586,-23.546972,-46.642674,316,16.0680500970484,15.9599359874833,20.5391779984905,27.5213360388471,24.7009900990099
N207-11-0,20171006,6714482,-23.543479,-46.641781,6700283,-23.544208,-46.642656,116,14.7089790654298,17.3101089213016,22.5838306919762,23.7535876396608,17.6522935567271
N207-11-0,20171006,6700283,-23.544208,-46.642656,670016862,-23.546957,-46.642914,385,15.1376323039643,17.0957889592515,17.5363096293307,20.0563075102308,19.653083936155
N207-11-1,20171006,8010136,-23.547509,-46.630274,8000224,-23.543344,-46.626942,1126,26.7633055140695,25.6140711204485,20.9802495116557,39.6398792825426,29.1791778709924
N209-11-0,20171006,710002296,-23.500417,-46.626141,7113156,-23.502531,-46.624249,646,25.6285990279203,29.4812718868189,32.5308266533915,26.9980806531872,24.2203682251189
N209-11-0,20171006,710002296,-23.500417,-46.626141,710000630,-23.502699,-46.624211,616,19.9796197340624,24.5259133034821,28.1486268174475,30.4164581664115,24.2466061738232
N209-11-0,20171006,7113156,-23.502531,-46.624249,710002295,-23.500272,-46.627318,662,25.5253199102999,26.4280064395455,29.529660610387,23.0376593865271,24.9961161187699
N231-11-0,20171006,130001491,-23.454856,-46.656805,1313515,-23.454444,-46.6591,301,20.2257856093979,27.7397356828194,20.8680580631184,NA,NA
N231-11-0,20171006,130001519,-23.468985,-46.66386,130001454,-23.466314,-46.668689,921,28.4005938410351,25.2748150413661,34.4575524288871,31.9515186241678,25.9143938328108
N231-11-0,20171006,130001520,-23.469763,-46.660407,130017231,-23.473269,-46.657337,526,24.6633741105209,35.5476647737354,35.9033904760482,34.6298617243916,25.3649390894666
N231-11-0,20171006,130001626,-23.476302,-46.665166,130005092,-23.475558,-46.664324,347.333333333333,24.7110881742999,29.1528208031213,31.0920036985446,27.5601103272371,19.8335550909292
N231-11-0,20171006,1313515,-23.454444,-46.6591,130001493,-23.455177,-46.659375,162,NA,NA,42.4918032786885,NA,NA
N231-11-0,20171006,510001553,-23.456843,-46.648357,130001490,-23.456054,-46.656042,1021,30.5306667932229,30.7373947092078,33.0175963892011,NA,NA
N231-11-0,20171006,510001564,-23.455999,-46.64351,510001555,-23.457461,-46.645712,407,26.9460045969013,27.7096356552011,26.2835483700821,23.7091688676503,NA
N231-11-0,20171006,5113463,-23.459757,-46.645006,510001554,-23.457041,-46.647959,654,30.2255804215696,31.5316646779027,28.5724829090862,37.1258181818182,28.76
